learning_rate,m,n,mu,rho,alpha,num_iters,train_loss,test_loss,best_train_loss,best_test_loss,train_corr,test_corr,best_train_corr,best_test_corr,model
0.01,103,103,0.2222777777777778,0.3889111111111111,1.8,40000,0.036502938717603683,0.051095370203256614,0.036502938717603683,0.04967490583658218,0.974532200261248,0.43421401473025656,0.974532200261248,0.5299854823384604,rf
0.01,103,103,0.2222777777777778,0.3333666666666667,1.8,40000,0.03650408610701561,0.05109445750713349,0.03650408610701561,0.049649175256490714,0.9745184636086308,0.43425195911539616,0.9745184636086308,0.5315144198265728,rf
0.01,103,103,0.2222777777777778,0.2778222222222222,1.8,40000,0.03650427609682083,0.05109347403049469,0.03650427609682083,0.049614056944847114,0.9745077287101044,0.43436731252503796,0.9745077287101044,0.5336403908743383,rf
0.01,103,103,0.2222777777777778,0.2222777777777778,1.8,40000,0.03650450333952904,0.05109354481101036,0.03650450333952904,0.04957504570484162,0.974498706980641,0.4343174930900696,0.974498706980641,0.5365919147287406,rf
0.01,103,103,0.2222777777777778,0.16673333333333334,1.8,40000,0.03650536388158798,0.05109310150146485,0.03650536388158798,0.04954661801457405,0.9745044277722624,0.4343826231957802,0.9745044277722624,0.5393744113877142,rf
0.01,103,103,0.2222777777777778,0.11118888888888888,1.8,40000,0.036507558077573776,0.051092062145471566,0.036507558077573776,0.04954912886023522,0.9744954343564662,0.4344308671291489,0.9744954343564662,0.5380740426060857,rf
0.01,103,103,0.2222777777777778,0.05564444444444444,1.8,40000,0.03651122376322746,0.05109092220664024,0.03651122376322746,0.049633990973234184,0.9744685715963144,0.4345025917088029,0.9744685715963144,0.5311422335102585,rf
0.01,103,103,0.2222777777777778,0.0001,1.8,40000,0.03689674288034439,0.05102204903960228,0.03689674288034439,0.04995542764663696,0.9700546316865576,0.4362350946124639,0.9700546316865576,0.5065162719165532,rf
0.01,103,103,0.16673333333333334,0.5,1.8,40000,0.0330667607486248,0.050736099481582635,0.0330667607486248,0.048950180411338806,0.9804009280452648,0.4426173251176844,0.9804009280452648,0.5414237644633172,rf
0.01,103,103,0.16673333333333334,0.4444555555555556,1.8,40000,0.03306705132126808,0.050735298544168465,0.03306705132126808,0.04892291128635407,0.9803930512607256,0.4426221113731989,0.9803930512607256,0.543036266626197,rf
0.01,103,103,0.16673333333333334,0.3889111111111111,1.8,40000,0.03306736424565315,0.05073420330882072,0.03306736424565315,0.048892606049776084,0.9803843268425728,0.4426572907365001,0.9803843268425728,0.5445491380270563,rf
0.01,103,103,0.16673333333333334,0.3333666666666667,1.8,40000,0.033068597316741936,0.05073316022753716,0.033068597316741936,0.04886135086417198,0.9803664536938148,0.4426937812030287,0.9803664536938148,0.5460093156683646,rf
0.01,103,103,0.16673333333333334,0.2778222222222222,1.8,40000,0.0330687053501606,0.05073190107941628,0.0330687053501606,0.048827722668647766,0.9803624980248098,0.4427859572420231,0.9803624980248098,0.5477663463337086,rf
0.01,103,103,0.16673333333333334,0.2222777777777778,1.8,40000,0.03307032957673073,0.0507311075925827,0.03307032957673073,0.04878630116581917,0.9803429033695432,0.4428220102598635,0.9803429033695432,0.5501833238445496,rf
